event_id,historical_symbol,first_trade_ts_utc,minute_ts_utc,relative_minute,equity_trade_count,share_volume,log_share_volume,dollar_volume,share_turnover,option_trade_count,option_contract_volume,log_option_volume,option_call_volume,option_put_volume,quoted_spread_pct,effective_spread_pct,realized_spread_5m_pct,price_impact_5m_pct,absolute_order_imbalance,order_flow_source,research_use_only
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T21:04:00.000Z,21,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T21:05:00.000Z,22,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T21:06:00.000Z,23,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T21:07:00.000Z,24,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T21:08:00.000Z,25,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T21:09:00.000Z,26,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T21:10:00.000Z,27,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T21:11:00.000Z,28,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T21:12:00.000Z,29,,,,,,,,,,,,,,,,,1
HEJFE-A25F33B630365184,R,2015-02-02T20:43:00.000Z,2015-02-02T21:13:00.000Z,30,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:33:00.000Z,-30,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:34:00.000Z,-29,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:35:00.000Z,-28,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:36:00.000Z,-27,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:37:00.000Z,-26,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:38:00.000Z,-25,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:39:00.000Z,-24,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:40:00.000Z,-23,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:41:00.000Z,-22,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:42:00.000Z,-21,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:43:00.000Z,-20,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:44:00.000Z,-19,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:45:00.000Z,-18,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:46:00.000Z,-17,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:47:00.000Z,-16,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:48:00.000Z,-15,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:49:00.000Z,-14,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:50:00.000Z,-13,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:51:00.000Z,-12,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:52:00.000Z,-11,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:53:00.000Z,-10,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:54:00.000Z,-9,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:55:00.000Z,-8,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:56:00.000Z,-7,,,,,,,,,,,,,,,,,1
HEJFE-36433565499915E2,PLL,2015-02-23T20:03:00.000Z,2015-02-23T19:57:00.000Z,-6,,,,,,,,,,,,,,,,,1
