event_id,historical_symbol,trade_date,primary_exchange,resolution_status,source_id,source_family,source_reference,itch_requirement,research_use_only
HEJFE-22BF36BABB9D19D7,ALNY,2015-02-12,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-E28050410A1480C6,DYN,2015-05-06,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-0704950C71CFAFB4,TXRH,2015-02-23,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-93A7D27EF425EDF0,MIC,2015-02-18,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-C926C41F03E66E82,PAY,2014-12-15,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-873A37657E58A8CD,PAY,2015-03-10,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-99F31DB35F001A44,DXCM,2015-02-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-CFA461ED8BCCB889,OSK,2015-04-27,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-826F68D9DA88B37C,ATRC,2015-02-23,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-5ED55A2EAC950921,AMP,2015-04-22,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-4D7E68AD113380B3,TRAK,2015-02-23,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-3ADF019D07BA84CE,HBI,2015-01-29,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-20EC97300E6205B9,INWK,2015-02-12,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-E4D3EE1A6CB984DB,EHTH,2011-04-26,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-9527526FED86FA7D,EHTH,2013-04-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-749FFC4028DF7B1C,VMW,2011-04-19,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-3BBEC23702C1A375,VMW,2013-07-23,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-350B3481A9CBBF0E,VMW,2013-10-21,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-09EF6AD227D3AC5D,DGI,2012-07-31,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-A5AE76F13A48C40F,DGI,2013-05-07,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-A76C746507C0D9AF,DGI,2015-02-26,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-C368B17FADFC15C7,ECHO,2013-04-25,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-B04F1AF8B6E30A43,CLD,2015-02-17,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-DB1E964E02F5921F,CLD,2015-04-30,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-5D222F0F8E0C77D0,TW,2015-05-04,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-E342F6A93B35E012,GNRC,2015-02-10,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-DC002D2C6C767277,MUSA,2011-10-20,,unresolved,,,,conditional_pending_exchange_resolution,1
HEJFE-51F3066EAC9B8138,MUSA,2012-01-26,,unresolved,,,,conditional_pending_exchange_resolution,1
