historical_symbol,trade_date,shares_outstanding,resolution_status,source_id,source_family,source_reference,fact_date,available_at,staleness_days,research_use_only
VDSI,2011-10-07,,unresolved,,,,,,,1
AGP,2011-10-10,,unresolved,,,,,,,1
LSTR,2011-10-10,,unresolved,,,,,,,1
MUSA,2011-10-10,,unresolved,,,,,,,1
VDSI,2011-10-10,,unresolved,,,,,,,1
AGP,2011-10-11,,unresolved,,,,,,,1
LSTR,2011-10-11,,unresolved,,,,,,,1
MUSA,2011-10-11,,unresolved,,,,,,,1
VDSI,2011-10-11,,unresolved,,,,,,,1
AGP,2011-10-12,,unresolved,,,,,,,1
LSTR,2011-10-12,,unresolved,,,,,,,1
MUSA,2011-10-12,,unresolved,,,,,,,1
VDSI,2011-10-12,,unresolved,,,,,,,1
AGP,2011-10-13,,unresolved,,,,,,,1
LSTR,2011-10-13,,unresolved,,,,,,,1
MUSA,2011-10-13,,unresolved,,,,,,,1
VDSI,2011-10-13,,unresolved,,,,,,,1
AGP,2011-10-14,,unresolved,,,,,,,1
LSTR,2011-10-14,,unresolved,,,,,,,1
MUSA,2011-10-14,,unresolved,,,,,,,1
VDSI,2011-10-14,,unresolved,,,,,,,1
AGP,2011-10-17,,unresolved,,,,,,,1
LSTR,2011-10-17,,unresolved,,,,,,,1
MUSA,2011-10-17,,unresolved,,,,,,,1
VDSI,2011-10-17,,unresolved,,,,,,,1
AGP,2011-10-18,,unresolved,,,,,,,1
LSTR,2011-10-18,,unresolved,,,,,,,1
MUSA,2011-10-18,,unresolved,,,,,,,1
VDSI,2011-10-18,,unresolved,,,,,,,1
AGP,2011-10-19,,unresolved,,,,,,,1
LSTR,2011-10-19,,unresolved,,,,,,,1
MUSA,2011-10-19,,unresolved,,,,,,,1
VDSI,2011-10-19,,unresolved,,,,,,,1
AGP,2011-10-20,,unresolved,,,,,,,1
LSTR,2011-10-20,,unresolved,,,,,,,1
MUSA,2011-10-20,,unresolved,,,,,,,1
VDSI,2011-10-20,,unresolved,,,,,,,1
AGP,2011-10-21,,unresolved,,,,,,,1
LSTR,2011-10-21,,unresolved,,,,,,,1
VDSI,2011-10-21,,unresolved,,,,,,,1
AGP,2011-10-24,,unresolved,,,,,,,1
VDSI,2011-10-24,,unresolved,,,,,,,1
AGP,2011-10-25,,unresolved,,,,,,,1
VDSI,2011-10-25,,unresolved,,,,,,,1
AGP,2011-10-26,,unresolved,,,,,,,1
VDSI,2011-10-26,,unresolved,,,,,,,1
AGP,2011-10-27,,unresolved,,,,,,,1
IGT,2011-12-20,,unresolved,,,,,,,1
MDP,2011-12-20,,unresolved,,,,,,,1
BA,2011-12-21,,unresolved,,,,,,,1
CA,2011-12-21,,unresolved,,,,,,,1
IBKC,2011-12-21,,unresolved,,,,,,,1
IGT,2011-12-21,,unresolved,,,,,,,1
MDP,2011-12-21,,unresolved,,,,,,,1
RES,2011-12-21,,unresolved,,,,,,,1
ROL,2011-12-21,,unresolved,,,,,,,1
WRLD,2011-12-21,,unresolved,,,,,,,1
AF,2011-12-22,,unresolved,,,,,,,1
BA,2011-12-22,,unresolved,,,,,,,1
CA,2011-12-22,,unresolved,,,,,,,1
CAT,2011-12-22,,unresolved,,,,,,,1
DEST,2011-12-22,,unresolved,,,,,,,1
IBKC,2011-12-22,,unresolved,,,,,,,1
IGT,2011-12-22,,unresolved,,,,,,,1
ISSI,2011-12-22,,unresolved,,,,,,,1
MDP,2011-12-22,,unresolved,,,,,,,1
NVR,2011-12-22,,unresolved,,,,,,,1
RES,2011-12-22,,unresolved,,,,,,,1
ROL,2011-12-22,,unresolved,,,,,,,1
SYMM,2011-12-22,,unresolved,,,,,,,1
VAR,2011-12-22,,unresolved,,,,,,,1
WRLD,2011-12-22,,unresolved,,,,,,,1
AF,2011-12-23,,unresolved,,,,,,,1
BA,2011-12-23,,unresolved,,,,,,,1
CA,2011-12-23,,unresolved,,,,,,,1
CAT,2011-12-23,,unresolved,,,,,,,1
CB,2011-12-23,,unresolved,,,,,,,1
DEST,2011-12-23,,unresolved,,,,,,,1
HON,2011-12-23,,unresolved,,,,,,,1
IBKC,2011-12-23,,unresolved,,,,,,,1
IDXX,2011-12-23,,unresolved,,,,,,,1
IGT,2011-12-23,,unresolved,,,,,,,1
ISSI,2011-12-23,,unresolved,,,,,,,1
MDP,2011-12-23,,unresolved,,,,,,,1
MSCC,2011-12-23,,unresolved,,,,,,,1
MUSA,2011-12-23,,unresolved,,,,,,,1
MXIM,2011-12-23,,unresolved,,,,,,,1
NVR,2011-12-23,,unresolved,,,,,,,1
RES,2011-12-23,,unresolved,,,,,,,1
ROL,2011-12-23,,unresolved,,,,,,,1
SYMM,2011-12-23,,unresolved,,,,,,,1
VAR,2011-12-23,,unresolved,,,,,,,1
WRLD,2011-12-23,,unresolved,,,,,,,1
AF,2011-12-27,,unresolved,,,,,,,1
BA,2011-12-27,,unresolved,,,,,,,1
CA,2011-12-27,,unresolved,,,,,,,1
CAT,2011-12-27,,unresolved,,,,,,,1
CB,2011-12-27,,unresolved,,,,,,,1
DEST,2011-12-27,,unresolved,,,,,,,1
HAE,2011-12-27,,unresolved,,,,,,,1
HON,2011-12-27,,unresolved,,,,,,,1
IBKC,2011-12-27,,unresolved,,,,,,,1
IDXX,2011-12-27,,unresolved,,,,,,,1
IGT,2011-12-27,,unresolved,,,,,,,1
ISSI,2011-12-27,,unresolved,,,,,,,1
MDP,2011-12-27,,unresolved,,,,,,,1
MSCC,2011-12-27,,unresolved,,,,,,,1
MUSA,2011-12-27,,unresolved,,,,,,,1
MXIM,2011-12-27,,unresolved,,,,,,,1
NVR,2011-12-27,,unresolved,,,,,,,1
RES,2011-12-27,,unresolved,,,,,,,1
ROL,2011-12-27,,unresolved,,,,,,,1
SYMM,2011-12-27,,unresolved,,,,,,,1
VAR,2011-12-27,,unresolved,,,,,,,1
WRLD,2011-12-27,,unresolved,,,,,,,1
AF,2011-12-28,,unresolved,,,,,,,1
BA,2011-12-28,,unresolved,,,,,,,1
CA,2011-12-28,,unresolved,,,,,,,1
CAT,2011-12-28,,unresolved,,,,,,,1
CB,2011-12-28,,unresolved,,,,,,,1
DEST,2011-12-28,,unresolved,,,,,,,1
HAE,2011-12-28,,unresolved,,,,,,,1
HON,2011-12-28,,unresolved,,,,,,,1
IBKC,2011-12-28,,unresolved,,,,,,,1
IDXX,2011-12-28,,unresolved,,,,,,,1
IGT,2011-12-28,,unresolved,,,,,,,1
ISSI,2011-12-28,,unresolved,,,,,,,1
MDP,2011-12-28,,unresolved,,,,,,,1
MSCC,2011-12-28,,unresolved,,,,,,,1
MUSA,2011-12-28,,unresolved,,,,,,,1
MXIM,2011-12-28,,unresolved,,,,,,,1
NVR,2011-12-28,,unresolved,,,,,,,1
RES,2011-12-28,,unresolved,,,,,,,1
ROL,2011-12-28,,unresolved,,,,,,,1
SYMM,2011-12-28,,unresolved,,,,,,,1
VAR,2011-12-28,,unresolved,,,,,,,1
WRLD,2011-12-28,,unresolved,,,,,,,1
AF,2011-12-29,,unresolved,,,,,,,1
BA,2011-12-29,,unresolved,,,,,,,1
CA,2011-12-29,,unresolved,,,,,,,1
CAT,2011-12-29,,unresolved,,,,,,,1
CB,2011-12-29,,unresolved,,,,,,,1
DEST,2011-12-29,,unresolved,,,,,,,1
HAE,2011-12-29,,unresolved,,,,,,,1
HON,2011-12-29,,unresolved,,,,,,,1
IBKC,2011-12-29,,unresolved,,,,,,,1
IDXX,2011-12-29,,unresolved,,,,,,,1
IGT,2011-12-29,,unresolved,,,,,,,1
ISSI,2011-12-29,,unresolved,,,,,,,1
MDP,2011-12-29,,unresolved,,,,,,,1
MSCC,2011-12-29,,unresolved,,,,,,,1
MUSA,2011-12-29,,unresolved,,,,,,,1
MXIM,2011-12-29,,unresolved,,,,,,,1
NVR,2011-12-29,,unresolved,,,,,,,1
RES,2011-12-29,,unresolved,,,,,,,1
ROL,2011-12-29,,unresolved,,,,,,,1
SYMM,2011-12-29,,unresolved,,,,,,,1
VAR,2011-12-29,,unresolved,,,,,,,1
WRLD,2011-12-29,,unresolved,,,,,,,1
AF,2011-12-30,,unresolved,,,,,,,1
BA,2011-12-30,,unresolved,,,,,,,1
CA,2011-12-30,,unresolved,,,,,,,1
