event_id,permno,gvkey,historical_symbol,first_documented_illicit_trade_ts,public_announcement_ts,information_asymmetry_seconds,hacked_flag,sec_documented_trade_flag,first_trade_timestamp_source,announcement_timestamp_source,timestamp_confidence,research_use_only
HEJFE-6C4EA140AD75FFE2,52337,7750,THC,2015-05-04 15:48:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-830D52F9F7F1CEEB,53640,7346,MSCC,2012-01-26 14:51:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-EDF80619CED083CB,56274,3362,CAG,2015-03-25 15:19:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-0BAF70D8CC8F1631,57665,7906,NKE,2015-03-19 15:58:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-332D5C6DC3ACE6B1,57809,7921,NDSN,2015-05-19 15:35:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-7ED8DBD4804E4330,57817,7922,JWN,2015-02-19 14:29:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-76DCF0FCA248E814,59192,3024,CB,2012-01-26 12:17:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-D9C52E6CC595C380,60871,1632,ADI,2015-02-17 14:05:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-09EB83905864C50A,60871,1632,ADI,2015-05-19 15:15:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-B46D4F8F72DD0212,61241,1161,AMD,2013-10-17 14:40:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-2FD552B9358078C6,61516,2220,BIO,2013-05-07 15:55:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-C85CE64DFF947CFD,66683,8901,RES,2012-01-24 15:20:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-7B8A1A0CD3E2966F,70332,11923,APC,2013-05-06 13:27:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-824BABBAD988A068,70616,9715,SYMM,2012-01-25 14:54:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-EC5EB2BE0D97833F,72726,10035,STT,2015-01-22 15:50:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-D51AC412EDF93AA8,75070,12471,INT,2015-04-30 15:40:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-9B43F5B767ECD0FA,75342,14790,MTH,2013-04-23 14:24:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-2D6ABDFDE39E5919,75342,14790,MTH,2013-07-23 15:18:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
HEJFE-FBA59D82CEE8FD00,75654,16188,CGNX,2015-02-12 14:04:00,,,1,1,vgreg/hacked_earnings_jfe/Data/TimeOfFirstTrade.csv; SEC complaint-derived historical label,PENDING_AUTHORIZED_POINT_IN_TIME_JOIN,B-PENDING-ANNOUNCEMENT-TIME,1
